lat	lon	title	description
40.084	 -88.240	118740	URBANA, IL
41.552	 -89.599	118916	WALNUT, IL
39.441	 -90.379	119241	WHITE HALL 1 E, IL
39.438	 -88.599	119354	WINDSOR, IL
40.112	 -85.717	120177	ANDERSON SEWAGE PLT, IN
41.640	 -84.990	120200	ANGOLA, IN
40.668	 -84.931	120676	BERNE, IN
39.174	 -86.521	120784	BLOOMINGTON IND UN, IN
39.424	 -85.013	121030	BROOKVILLE, IN
39.867	 -85.183	121229	CAMBRIDGE CITY 3 N, IN
38.483	 -85.700	121425	CHARLESTOWN/ORD PLT, IN
39.198	 -85.921	121747	COLUMBUS, IN
40.003	 -86.801	121873	CRAWFORDSVILLE, IN
40.614	 -86.667	122149	DELPHI 3 S, IN
41.557	 -85.882	123418	GOSHEN 3 W, IN
39.622	 -86.910	123513	GREENCASTLE 5 E, IN
39.786	 -85.761	123527	GREENFIELD, IN
41.542	 -87.288	124008	HOBART 2 WNW, IN
40.856	 -85.498	124181	HUNTINGTON, IN
41.612	 -86.730	124837	LA PORTE, IN
38.737	 -85.394	125237	MADISON SEWAGE PLANT, IN
40.580	 -85.659	125337	MARION 2 N, IN
37.929	 -87.896	126001	MOUNT VERNON, IN
38.889	 -86.552	126580	OOLITIC PURDUE EXP FRM, IN
38.556	 -86.486	126705	PAOLI, IN
38.357	 -87.591	127125	PRINCETON 1 W, IN
40.936	 -87.156	127298	RENSSELAER, IN
41.066	 -86.209	127482	ROCHESTER, IN
39.759	 -87.227	127522	ROCKVILLE, IN
39.604	 -85.453	127646	RUSHVILLE/SEWAGE PLT, IN
38.611	 -86.089	127755	SALEM, IN
38.689	 -85.785	127875	SCOTTSBURG, IN
38.982	 -85.982	127935	SEYMOUR 2 N, IN
38.553	 -86.794	128036	SHOALS HIWAY 50 BRDG, IN
38.744	 -85.076	129080	VEVAY, IN
38.739	 -87.488	129113	VINCENNES, IN
38.649	 -87.199	129253	WASHINGTON 1 NNW, IN
41.195	 -87.058	129511	WHEATFIELD 3 WNW, IN
39.989	 -86.349	129557	WHITESTOWN, IN
41.026	 -86.587	129670	WINAMAC 2 SSE, IN
41.066	 -92.787	130112	ALBIA 3 NNE, IA
43.068	 -94.305	130133	ALGONA 3 W, IA
41.889	 -92.294	130600	BELLE PLAINE, IA
43.077	 -92.671	131402	CHARLES CITY, IA
40.724	 -95.019	131533	CLARINDA, IA
41.795	 -90.264	131635	CLINTON NO 1, IA
43.430	 -94.822	132724	ESTHERVILLE 2 N, IA
41.021	 -91.955	132789	FAIRFIELD, IA
42.850	 -91.816	132864	FAYETTE, IA
43.284	 -93.631	132977	FOREST CITY 2 NNE, IA
42.495	 -94.207	132999	FORT DODGE, IA
41.355	 -93.566	134063	INDIANOLA, IA
42.519	 -93.254	134142	IOWA FALLS, IA
42.782	 -96.146	134735	LE MARS, IA
41.638	 -95.788	134894	LOGAN, IA
40.713	 -94.242	135769	MOUNT AYR 4 SW, IA
40.949	 -91.565	135796	MOUNT PLEASANT 1 SSW, IA
43.045	 -92.312	135952	NEW HAMPTON, IA
43.430	 -96.169	137147	ROCK RAPIDS, IA
42.397	 -94.629	137161	ROCKWELL CITY, IA
42.635	 -95.169	137979	STORM LAKE 2 E, IA
42.036	 -92.581	138296	TOLEDO 3 N, IA
41.283	 -91.707	138688	WASHINGTON, IA
37.155	 -98.028	140264	ANTHONY, KS
37.194	 -99.763	140365	ASHLAND, KS
39.576	 -95.111	140405	ATCHISON, KS
37.271	 -99.327	141704	COLDWATER, KS
37.176	 -94.840	141740	COLUMBUS 6 NNW, KS
38.675	 -96.526	141867	COUNCIL GROVE LAKE, KS
37.818	 -96.844	142401	EL DORADO, KS
38.728	 -98.227	142459	ELLSWORTH, KS
37.843	 -94.709	142835	FORT SCOTT, KS
38.859	 -99.336	143527	HAYS 1 S, KS
39.671	 -95.523	143810	HORTON, KS
37.236	 -95.700	143954	INDEPENDENCE, KS
38.196	 -99.918	144087	JETMORE, KS
37.941	-101.249	144464	LAKIN, KS
38.182	 -99.099	144530	LARNED, KS
38.967	 -95.267	144559	LAWRENCE, KS
39.326	 -94.919	144588	LEAVENWORTH 5 NNW, KS
37.022	-100.929	144695	LIBERAL, KS
39.197	 -96.581	144972	MANHATTAN, KS
38.376	 -97.643	145152	MCPHERSON, KS
37.277	 -98.580	145173	MEDICINE LODGE, KS
39.124	 -97.704	145363	MINNEAPOLIS, KS
39.741	 -99.836	145856	NORTON 9 SSE, KS
39.819	-100.534	145906	OBERLIN, KS
38.888	 -94.760	145972	OLATHE 3 E, KS
38.613	 -95.281	146128	OTTAWA, KS
39.768	-101.810	147093	SAINT FRANCIS, KS
38.482	-100.919	147271	SCOTT CITY, KS
37.132	 -96.186	147305	SEDAN, KS
39.778	 -98.777	147542	SMITH CENTER, KS
39.030	 -99.883	148495	WAKEENEY, KS
38.454	 -82.613	150254	ASHLAND, KY
36.882	 -83.882	150381	BARBOURVILLE, KY
37.573	 -84.291	150619	BEREA COLLEGE, KY
36.965	 -86.424	150909	BOWLING GREEN WARREN CO AP, KY
38.117	 -83.550	152791	FARMERS 2 S, KY
38.235	 -84.882	153028	FRANKFORT LOCK 4, KY
37.259	 -85.502	153430	GREENSBURG, KY
37.766	 -87.627	153762	HENDERSON 7 SSW, KY
36.849	 -87.521	153994	HOPKINSVILLE, KY
37.511	 -86.289	154703	LEITCHFIELD 2 N, KY
38.200	 -85.200	157324	SHELBYVILLE 6 NW, KY
36.733	 -84.150	158709	WILLIAMSBURG, KY
38.659	 -84.611	158714	WILLIAMSTOWN, KY
31.321	 -92.461	160098	ALEXANDRIA, LA
30.709	 -90.525	160205	AMITE, LA
32.769	 -92.006	160537	BASTROP, LA
30.537	 -91.147	160549	BATON ROUGE RYAN ARPT, LA
30.959	 -92.179	161287	BUNKIE, LA
32.513	 -92.348	161411	CALHOUN RESEARCH STN, LA
30.527	 -90.111	162151	COVINGTON 4 NNW, LA
30.072	 -91.027	162534	DONALDSONVILLE 4 SW, LA
29.823	 -91.544	163313	FRANKLIN 3 NW, LA
30.419	 -92.044	163800	GRAND COTEAU, LA
29.586	 -90.730	164407	HOUMA, LA
30.200	 -92.664	164700	JENNINGS, LA
30.205	 -91.988	165026	LAFAYETTE REGIONAL AP, LA
29.917	 -90.130	166664	NEW ORLEANS/AUDUBON, LA
32.908	 -93.798	167344	PLAIN DEALING, LA
31.950	 -91.234	168163	ST JOSEPH 3 N, LA
29.776	 -90.780	169013	THIBODAUX, LA
32.099	 -91.702	169806	WINNSBORO 5 SSE, LA
44.374	 -68.259	170100	ACADIA/NATL PK, ME
45.660	 -69.812	170814	BRASSUA DAM, ME
44.920	 -69.242	171628	CORINNA, ME
44.917	 -67.000	172426	EASTPORT, ME
44.683	 -70.150	172765	FARMINGTON, ME
44.217	 -69.783	173046	GARDINER, ME
46.200	 -67.833	173944	HOULTON, ME
44.100	 -70.217	174566	LEWISTON, ME
45.650	 -68.705	175304	MILLINOCKET, ME
43.642	 -70.304	176905	PORTLAND INTL JETPORT, ME
46.650	 -68.000	176937	PRESQUE ISLE, ME
45.157	 -67.404	179891	WOODLAND, ME
39.030	 -76.931	180700	BELTSVILLE, MD
38.567	 -76.067	181385	CAMBRIDGE 4 W, MD
39.217	 -76.052	181750	CHESTERTOWN, MD
39.642	 -78.756	182282	CUMBERLAND 2, MD
38.883	 -75.800	182523	DENTON 2 E, MD
38.969	 -76.804	183675	GLENN DALE BELL STN, MD
39.085	 -76.900	185111	LAUREL 3 W, MD
39.281	 -76.610	185718	BALTIMORE DOWNTOWN, MD
39.274	 -75.870	185985	MILLINGTON 1 SE, MD
39.413	 -79.400	186620	OAKLAND 1 SE, MD
38.683	 -76.667	186770	OWINGS FERRY LANDING, MD
38.212	 -75.682	187330	PRINCESS ANNE, MD
38.714	 -76.190	187806	ROYAL OAK 2 SSW, MD
38.365	 -75.589	188000	SALISBURY, MD
39.550	 -76.967	189440	WESTMINSTER/POLICE BARRACK, MD
39.333	 -76.867	189750	WOODSTOCK, MD
42.383	 -72.533	190120	AMHERST, MA
42.483	 -71.283	190535	BEDFORD, MA
42.217	 -71.117	190736	EAST MILTON BLUE HILL OBSERVAT, MA
42.145	 -73.417	193213	GREAT BARRINGTON/AP, MA
42.700	 -71.167	194105	LAWRENCE, MA
41.633	 -70.933	195246	NEW BEDFORD, MA
41.983	 -70.700	196486	PLYMOUTH-KINGSTON, MA
42.050	 -70.183	196681	PROVINCETOWN, MA
42.517	 -71.133	196783	READING, MA
41.900	 -71.067	198367	TAUNTON, MA
42.167	 -71.250	198757	WALPOLE 2, MA
42.133	 -71.433	199316	WEST MEDWAY, MA
41.916	 -84.016	200032	ADRIAN 2 NNE, MI
42.580	 -85.789	200128	ALLEGAN 5 NE, MI
43.383	 -84.665	200146	ALMA, MI
42.295	 -83.711	200230	ANN ARBOR UNIV OF MI, MI
43.707	 -85.482	200779	BIG RAPIDS WATERWORK, MI
46.519	 -87.986	201439	CHAMPION/VAN RIPER PK, MI
46.347	 -86.929	201486	CHATHAM/EXP FARM 2, MI
45.652	 -84.472	201492	CHEBOYGAN, MI
41.962	 -84.993	201675	COLDWATER ST SCHOOL, MI
44.284	 -83.503	202423	EAST TAWAS, MI
45.667	 -86.717	202737	FAYETTE 4 SW, MI
43.689	 -86.374	203632	HART, MI
41.935	 -84.641	203823	HILLSDALE, MI
45.786	 -88.084	204090	IRON MTN-KINGSFORD W, MI
46.467	 -90.183	204104	IRONWOOD, MI
42.283	 -85.600	204244	KALAMAZOO STATE HOSP, MI
43.609	 -84.201	205434	MIDLAND, MI
42.608	 -82.818	205650	MOUNT CLEMENS SELFRIDGE FLD, MI
43.586	 -84.770	205662	MT PLEASANT UNIV, MI
46.412	 -86.663	205690	MUNISING, MI
46.313	 -85.511	205816	NEWBERRY 3 S, MI
43.016	 -84.180	206300	OWOSSO WWTP, MI
42.401	 -86.283	207690	SOUTH HAVEN, MI
46.056	 -88.628	207812	STAMBAUGH 2 SSE, MI
47.299	 -96.516	210018	ADA, MN
43.606	 -93.302	210075	ALBERT LEA 3 SE, MN
48.331	 -96.825	210252	RGYLE 4 E, MN
48.709	 -94.587	210515	BAUDETTE, MN
44.800	 -93.583	211465	CHASKA, MN
46.705	 -92.525	211630	CLOQUET, MN
46.833	 -95.854	212142	DETROIT LAKES 1 NNE, MN
47.458	 -92.530	212645	EVELETH/WSTWTR PLT, MN
43.645	 -94.466	212698	FAIRMONT, MN
44.670	 -93.170	212737	FARMINGTON 3 NW, MN
47.564	 -95.724	212916	FOSSTON 1 E, MN
43.705	 -92.564	213290	GRAND MEADOW, MN
47.244	 -93.497	213303	GRAND RAPIDS FORESTRY LAB, MN
47.226	 -95.192	214106	ITASCA UNIV OF MN, MN
47.247	 -94.223	214652	LEECH LAKE DAM, MN
47.631	 -93.652	215175	MARCELL 5 NE, MN
45.122	 -95.927	215400	MILAN 1 NW, MN
44.883	 -93.229	215435	MINNEAPOLIS-ST PAUL INT'L ARPT, MN
44.936	 -95.754	215563	MONTEVIDEO 1 SW, MN
45.883	 -93.300	215615	MORA, MN
45.590	 -95.875	215638	MORRIS WC EXP STN, MN
44.301	 -94.490	215887	NEW ULM 2 SE, MN
44.763	 -94.930	216152	OLIVIA 3 SE, MN
46.901	 -95.068	216360	PARK RAPIDS MUNICIPAL AP, MN
46.669	 -94.109	216547	PINE RIVER DAM, MN
44.014	 -96.326	216565	PIPESTONE, MN
48.849	 -95.768	217087	ROSEAU 1 E, MN
44.322	 -93.956	217405	ST PETER 2 SW, MN
46.795	 -93.321	217460	SANDY LAKE DAM LIBBY, MN
47.026	 -91.665	218419	TWO HARBORS, MN
47.074	 -94.570	218618	WALKER AH GWAH CHING, MN
43.769	 -94.187	219046	WINNEBAGO, MN
44.299	 -92.666	219249	ZUMBROTA, MN
33.830	 -88.521	220021	ABERDEEN, MS
34.306	 -89.981	220488	BATESVILLE 2 SW, MS
34.669	 -88.570	220955	BOONEVILLE, MS
31.545	 -90.458	221094	BROOKHAVEN CITY, MS
32.671	 -90.036	221389	CANTON 4 N, MS
34.186	 -90.557	221707	CLARKSDALE, MS
31.250	 -89.836	221865	COLUMBIA, MS
33.468	 -88.385	221880	COLUMBUS/LUXAPALLILA, MS
34.879	 -88.618	221962	CORINTH CITY, MS
31.946	 -90.378	222094	CRYSTAL SPRING, MS
32.319	 -89.486	223107	FOREST 3 S, MS
33.359	 -91.060	223605	GREENVILLE, MS
31.255	 -89.339	223887	HATTIESBURG, MS
34.816	 -89.985	223975	HERNANDO 5 S, MS
34.822	 -89.435	224173	HOLLY SPRINGS 4 N, MS
33.058	 -89.580	224776	KOSCIUSKO, MS
31.676	 -89.123	224939	LAUREL, MS
33.135	 -89.071	225247	LOUISVILLE, MS
31.552	 -90.106	225987	MONTICELLO, MS
33.452	 -90.509	226009	MOORHEAD, MS
31.589	 -91.341	226177	NATCHEZ, MS
30.396	 -88.478	226718	PASCAGOULA 3 NE, MS
34.138	 -88.998	227111	PONTOTOC/EXP STN, MS
30.841	 -89.545	227128	POPLARVILLE/EXP STN, MS
31.985	 -90.972	227132	PORT GIBSON 3 NE, MS
33.469	 -88.782	228374	STATE UNIVERSITY, MS
34.380	 -89.536	229079	UNIVERSITY, MS
34.158	 -89.631	229400	WATER VALLEY 1 NNE, MS
30.295	 -89.383	229426	WAVELAND, MS
31.677	 -88.671	229439	WAYNESBORO 2 W, MS
31.093	 -91.233	229793	WOODVILLE 4 ESE, MS
32.903	 -90.382	229860	YAZOO CITY 5 NNE, MS
38.187	 -94.028	230204	APPLETON CITY, MO
39.384	 -91.259	230856	BOWLING GREEN 2 NE, MO
39.430	 -93.139	231037	BRUNSWICK, MO
36.169	 -89.664	231364	CARUTHERSVILLE, MO
38.395	 -93.771	231711	CLINTON, MO
40.239	 -94.683	231822	CONCEPTION, MO
36.621	 -90.812	232289	DONIPHAN, MO
37.792	 -90.410	232809	FARMINGTON, MO
38.585	 -92.183	234271	JEFFERSON CITY WTR P, MO
37.499	 -94.270	234705	LAMAR, MO
37.685	 -92.694	234825	LEBANON 2 W, MO
38.880	 -94.336	234850	LEE'S SUMMIT/REED, MO
39.183	 -93.855	234904	LEXINGTON 3 NE, MO
37.391	 -93.949	235027	LOCKWOOD, MO
37.304	 -89.966	235253	MARBLE HILL, MO
39.176	 -91.886	235541	MEXICO, MO
39.419	 -92.437	235671	MOBERLY AP, MO
37.153	 -92.264	235834	MOUNTAIN GROVE 2 N, MO
36.864	 -94.360	235976	NEOSHO, MO
37.957	 -91.776	237263	ROLLA UNIV OF MO, MO
40.247	 -93.716	237963	SPICKARD, MO
39.971	 -91.887	238051	STEFFENVILLE, MO
38.963	 -93.417	238223	SWEET SPRINGS, MO
38.258	 -93.399	238466	TRUMAN/DAM & RSVR, MO
40.475	 -93.003	238523	UNIONVILLE, MO
38.835	 -91.139	238725	WARRENTON 1 N, MO
46.131	-112.957	240199	ANACONDA, MT
47.493	-112.396	240364	AUGUSTA, MT
45.833	-109.950	240780	BIG TIMBER, MT
45.662	-111.045	241044	BOZEMAN MONTANA SU, MT
47.219	-111.710	241552	CASCADE 5 S, MT
48.588	-109.226	241722	CHINOOK, MT
47.821	-112.192	241737	CHOTEAU, MT
