Historical adjusted precipitation stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de précipitations ajustées  pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
NU,DEWAR LAKES,2401030,1958,1,1993,3,68.7,-71.2,527,No
NU,EUREKA,2401200,1948,1,2011,12,80.0,-85.9,10,No
NU,FOX FIVE,2400570,1959,1,1991,6,67.5,-63.8,584,No
NU,GLADMAN POINT ,2402340,1957,1,1992,7,68.7,-97.8,14,No
NU,HALL BEACH ,2402350,1957,1,2007,11,68.8,-81.3,8,No
NU,IQALUIT ,2402590,1946,1,2002,5,63.8,-68.6,34,No
NU,JENNY LIND ISLAND ,2302650,1958,1,1992,7,68.7,-101.7,18,No
NU,KUGAARUK ,2303092,1957,1,2011,12,68.5,-89.8,17,Yes
NU,KUGLUKTUK ,2300902,1931,1,2011,12,67.8,-115.2,23,Yes
NU,LADY FRANKLIN POINT ,2302680,1958,1,1993,3,68.5,-113.2,16,No
NU,LONGSTAFF BLUFF,2402684,1958,1,1991,6,68.9,-75.1,161,No
NU,LUPIN ,230N002,1959,1,2007,7,65.8,-111.3,488,Yes
NU,MACKAR INLET,2402686,1958,1,1992,5,68.3,-85.7,395,No
NU,NANISIVIK ,2402730,1938,1,2007,11,73.0,-84.6,642,Yes
NU,RESOLUTE CARS,2403500,1948,1,2011,12,74.7,-95.0,67,No
NU,SHEPHERD BAY ,2303685,1957,1,1993,3,68.8,-93.4,43,No
AB,ATHABASCA,3060L20,1918,1,2011,12,54.7,-113.3,515,Yes
AB,BANFF ,3050519,1894,1,2011,12,51.2,-115.6,1397,Yes
AB,BEAVERLODGE,3070600,1916,1,2011,12,55.2,-119.4,745,Yes
AB,CALGARY ,3031093,1885,1,2011,12,51.1,-114.0,1084,No
AB,CALMAR,3011120,1915,1,2011,8,53.3,-113.9,720,No
AB,CAMPSIE,3061200,1910,1,2011,12,54.1,-114.7,671,No
AB,CAMROSE,3011240,1946,1,2011,12,53.0,-112.8,739,No
AB,CARWAY,3031400,1915,1,2009,9,49.0,-113.4,1354,No
AB,CLARESHOLM MEADOW CREEK,3031F5F,1913,1,2005,3,49.9,-113.7,1035,No
AB,COLD LAKE ,3081680,1926,1,2011,12,54.4,-110.3,541,Yes
AB,CORONATION,3011887,1928,1,2011,12,52.1,-111.5,791,Yes
AB,CROWSNEST,3051R4R,1913,1,2010,12,49.6,-114.5,1303,Yes
AB,DRUMHELLER ANDREW,3022136,1954,1,2011,12,51.5,-112.9,719,No
AB,EDMONON ,3012205,1883,1,2011,12,53.3,-113.6,723,Yes
AB,EDSON,3062246,1920,1,2007,11,53.6,-116.5,927,Yes
AB,ELK POINT,3012280,1913,1,1997,6,53.9,-111.1,605,No
AB,ENILDA-BERG,3062427,1932,1,2011,12,55.4,-116.3,591,Yes
AB,FAIRVIEW THREE FOX FARM,3072539,1932,1,1999,12,56.1,-118.5,604,Yes
AB,FORT CHIPEWYAN ,3072658,1884,1,2007,8,58.8,-111.1,232,Yes
AB,FORT MCMURRAY ,3062693,1920,1,2008,7,56.7,-111.2,369,Yes
AB,FORT VERMILION,3072723,1909,1,2011,12,58.4,-116.0,289,Yes
AB,GLEICHEN,3032800,1903,1,2006,3,50.9,-113.1,905,No
AB,GRANDE PRAIRIE ,3072920,1931,1,2011,12,55.2,-118.9,669,Yes
AB,HIGHWOOD,3053250,1903,1,2011,9,50.6,-114.4,1580,Yes
AB,HINTON VALLEY,306A009,1917,1,2011,12,53.4,-117.5,1011,Yes
AB,JASPER WARDEN,3053536,1936,1,2011,12,52.9,-118.0,1020,Yes
AB,JENNER,3023560,1916,1,2007,11,50.7,-111.2,755,No
AB,KEG RIVER RS,3073641,1936,1,2007,12,57.8,-117.6,405,Yes
AB,LACOMBE ,3023722,1908,1,2011,12,52.5,-113.8,860,Yes
AB,LETHBRIDGE ,3033880,1902,1,2008,7,49.6,-112.8,929,Yes
AB,MEDICINE HAT ,3034480,1886,1,2006,5,50.0,-110.7,717,No
AB,MOUNTAIN VIEW,3034720,1913,1,2006,3,49.1,-113.6,1339,No
AB,OLDS,3024920,1914,1,2011,12,51.8,-114.1,1040,No
AB,ONEFOUR ,3044923,1928,1,2011,12,49.1,-110.5,935,Yes
AB,PEACE RIVER ,3075040,1908,1,2011,12,56.2,-117.5,571,Yes
AB,PINCHER CREEK,3035206,1915,1,2010,12,49.5,-114.0,1190,Yes
AB,RANFURLY,3015405,1905,1,2011,12,53.4,-111.7,673,Yes
AB,ROCKY MTN HOUSE,3015523,1917,1,2011,12,52.4,-114.9,988,Yes
AB,SCOTFIELD,3025770,1913,1,2007,10,51.6,-111.4,762,Yes
AB,SION,3015960,1906,1,2004,12,53.9,-114.1,701,No
AB,SLAVE LAKE ,3065999,1925,1,2007,8,55.3,-114.8,583,Yes
AB,STETTLER,3016119,1919,1,2001,8,52.3,-112.7,821,Yes
AB,VAUXHALL  ,3036682,1914,1,2010,12,50.1,-112.1,779,Yes
AB,WABASCA,3076908,1915,1,2007,12,56.0,-113.8,545,Yes
AB,WHITECOURT ,3067372,1943,1,2010,12,54.2,-115.8,782,Yes
SK,ANEROID,4020160,1922,1,2005,4,49.7,-107.3,754,No
SK,BANGOR,4010400,1951,1,2005,2,50.9,-102.3,526,No
SK,BUFFALO NARROWS ,4060982,1962,1,2011,12,55.8,-108.4,440,Yes
SK,CEYLON,4011441,1922,1,2002,12,49.4,-104.7,753,Yes
SK,CHAPLIN,4021520,1904,1,1995,9,50.5,-106.7,672,No
SK,COLLINS BAY CAMECO,4061632,1965,1,2011,12,58.2,-103.7,490,Yes
SK,COTE,4011846,1913,1,2006,3,51.5,-101.8,450,Yes
SK,CREE LAKE,4061861,1962,1,1996,8,57.4,-107.1,495,Yes
SK,DAVIDSON,4012120,1922,1,2005,10,51.3,-106.0,619,No
SK,ESTEVAN ,4012400,1902,1,2011,12,49.2,-103.0,581,Yes
SK,HIGH POINT,4023240,1929,1,2011,11,51.0,-107.9,645,No
SK,HUDSON BAY,4083323,1943,1,2008,5,52.9,-102.6,422,Yes
SK,INDIAN HEAD ,4013480,1895,1,2011,4,50.6,-103.7,579,No
SK,ISLAND FALLS,4063560,1931,1,2004,9,55.5,-102.4,299,No
SK,KELLIHER,4013660,1908,1,2011,12,51.3,-103.8,676,Yes
SK,KEY LAKE,4063755,1977,1,2011,12,57.3,-105.6,509,No
SK,KINDERSLEY ,4043900,1942,1,2011,12,51.5,-109.2,694,Yes
SK,KLINTONEL,4024080,1911,1,1994,1,49.7,-108.9,1074,No
SK,LA RONGE ,4064150,1923,1,2011,12,55.2,-105.3,379,Yes
SK,LEADER ,402DAF0,1923,1,2010,12,50.9,-109.5,676,Yes
SK,LOON LAKE,4064600,1930,1,2005,10,54.1,-109.1,543,Yes
SK,MANOR,4014913,1922,1,2004,7,49.6,-102.1,633,Yes
SK,MELFORT,4055079,1910,1,2011,4,52.8,-104.6,490,Yes
SK,MOOSE JAW ,4015322,1895,1,2011,12,50.3,-105.6,577,Yes
SK,MOOSOMIN,4015360,1900,1,2000,9,50.1,-101.7,576,No
SK,NIPAWIN ,4075518,1911,1,2005,9,53.3,-104.0,372,Yes
SK,NORTH BATTLEFORD,4045605,1894,1,2010,12,52.8,-108.3,548,Yes
SK,OUTLOOK PFRA,4055736,1915,1,2011,3,51.5,-107.1,541,Yes
SK,PASWEGIN,4015960,1951,1,2003,9,52.0,-103.9,533,No
SK,PELLY,4086000,1952,1,2011,12,52.1,-101.9,509,No
SK,PILGER,4056120,1913,1,2011,9,52.4,-105.2,552,No
SK,PRINCE ALBERT ,4056240,1889,1,2011,12,53.2,-105.7,428,Yes
SK,REGINA ,4016560,1898,1,2010,12,50.4,-104.7,577,No
SK,SKATOON ,4057120,1900,1,2010,12,52.2,-106.7,504,No
SK,SCOTT ,4047241,1911,1,2007,11,52.4,-108.8,660,Yes
SK,SWIFT CURRENT ,4028060,1886,1,2011,4,50.3,-107.7,825,Yes
SK,TONKIN,4019082,1941,1,2011,12,51.2,-102.2,527,Yes
SK,URANIUM CITY ,406QLD0,1953,1,2007,10,59.6,-108.5,318,Yes
SK,VAL-MARIE,4038400,1937,1,2010,5,49.4,-107.9,808,No
SK,WASECA,4048520,1908,1,2011,12,53.1,-109.4,638,No
SK,WASKESIU LAKE,4068559,1966,1,2011,4,53.9,-106.1,569,Yes
SK,WEST POPLAR RIVER,4038740,1957,1,2002,6,49.0,-106.4,876,No
SK,WHITESAND DAM,4068840,1938,1,2004,9,56.2,-103.2,344,No
SK,YELLOW GRASS,4019040,1912,1,2011,12,49.8,-104.2,580,No
MB,ARBORG,5030080,1951,1,2011,12,50.9,-97.1,224,No
MB,BERENS RIVER ,5030203,1905,1,2005,12,52.4,-97.0,222,Yes
MB,BIRTLE,5010240,1917,1,2000,6,50.4,-101.1,522,No
MB,BISSETT,5030282,1933,1,1997,6,51.0,-95.7,259,Yes
MB,BRANDON ,5010485,1890,1,2010,3,49.9,-100.0,363,No
MB,CHURCHILL ,5060606,1932,1,2011,12,58.7,-94.1,29,Yes
MB,CYPRESS RIVER,5010640,1948,1,2011,12,49.6,-99.1,374,No
MB,DAUPHIN,5040680,1911,1,2010,7,51.1,-100.1,305,Yes
MB,EMERSON,5020882,1942,1,2009,8,49.0,-97.2,242,Yes
MB,FLIN FLON,5050920,1927,1,2011,12,54.8,-101.9,320,No
MB,GILLAM ,5061001,1943,1,2011,12,56.4,-94.7,145,Yes
MB,GIMLI,5031039,1944,1,2007,11,50.6,-97.0,223,Yes
MB,GRAND RAPIDS HYDRO,5031111,1962,1,2011,12,53.2,-99.3,223,Yes
MB,GREAT FALLS,5031200,1923,1,2002,12,50.5,-96.0,249,No
MB,INDIAN BAY,5031320,1915,1,2011,12,49.6,-95.2,327,No
MB,LANGRUTH WEST,5041535,1958,1,2005,2,50.4,-98.8,264,Yes
MB,LYNN LAKE,5061648,1952,1,2010,12,56.9,-101.1,357,Yes
MB,MORDEN  ,5021849,1888,1,2011,4,49.2,-98.1,298,Yes
MB,NEEPAWA MURRAY,5042004,1881,1,2008,11,50.2,-99.6,412,Yes
MB,NINETTE,50220M0,1916,1,1996,5,49.4,-99.7,419,Yes
MB,NORWAY HOUSE ,506B047,1896,1,2005,9,54.0,-97.9,224,Yes
MB,PIERSON,5012080,1933,1,2007,3,49.2,-101.3,469,No
MB,PINAWA WNRE,5032162,1915,1,2011,12,50.2,-96.1,267,Yes
MB,PORTAGE LA PRAIRIE ,5012321,1942,1,2011,12,50.0,-98.3,259,Yes
MB,SPRAGUE,5022759,1916,1,2010,12,49.0,-95.6,329,Yes
MB,STEINBACH,5022780,1956,1,2005,3,49.5,-96.8,254,No
MB,SWAN RIVER,5042800,1960,1,2006,6,52.1,-101.2,347,No
MB,THE PAS ,5052880,1910,1,2011,12,54.0,-101.1,270,Yes
MB,THOMPSON ,5062922,1967,1,2011,12,55.8,-97.9,222,No
MB,WINNIPEG ,5023222,1872,1,2008,7,49.9,-97.2,239,Yes
ON,AMHERSTBURG,6130257,1917,1,2011,11,42.1,-83.1,182,Yes
ON,ARMSTRONG JELLIEN,6040330,1939,1,1992,10,50.3,-89.1,341,Yes
ON,ATIKOKAN MARMION,6020384,1919,1,2007,7,48.8,-91.6,442,Yes
ON,BEATRICE,6110606,1876,1,2008,9,45.1,-79.4,297,Yes
ON,BELLEVILLE,6150689,1921,1,2011,12,44.2,-77.4,76,No
ON,BIG TROUT LAKE,6010738,1939,1,1992,10,53.8,-89.9,224,No
ON,BISCOTASING,6060773,1914,1,2000,10,47.3,-82.1,407,No
ON,BROCKVILLE,6100971,1915,1,2011,12,44.6,-75.7,96,Yes
ON,CAMERON FALLS,6041109,1924,1,1998,8,49.2,-88.4,229,No
ON,CHAPLEAU ,6061361,1914,1,2011,12,47.8,-83.4,447,Yes
ON,CORNWALL,6101874,1951,1,2011,12,45.0,-74.8,64,No
ON,DRYDEN ,6032119,1914,1,2005,1,49.8,-92.8,413,Yes
ON,EARLTON ,6072225,1939,1,2005,1,47.7,-79.9,243,No
ON,FORT FRANCES ,6022476,1912,1,2011,5,48.7,-93.4,342,Yes
ON,GERALDTON ,6042716,1950,1,2011,12,49.8,-86.9,349,Yes
ON,GODFREY,6102857,1924,1,2003,5,44.6,-76.6,160,Yes
ON,GORE BAY ,6092925,1916,1,2005,8,45.9,-82.6,194,Yes
ON,HALIBURTON,6163171,1883,1,2011,12,45.0,-78.5,330,Yes
ON,HAMILTON ,6153194,1866,1,2011,12,43.2,-79.9,238,Yes
ON,HORNEPAYNE ,6053575,1917,1,1995,7,49.2,-84.8,335,Yes
ON,IROQUOIS FALLS,6073810,1913,1,1998,12,48.8,-80.7,259,No
ON,KAPUSKASING ,6073975,1918,1,2011,12,49.4,-82.5,227,Yes
ON,KENORA ,6034075,1900,1,2011,12,49.8,-94.4,406,Yes
ON,KINGSTON PUMPING STATION,6104175,1872,1,2007,12,44.3,-76.5,77,Yes
ON,LANSDOWNE HOUSE,6014350,1941,1,2011,12,52.2,-87.9,255,No
ON,LONDON ,6144475,1883,1,2011,12,43.0,-81.2,278,Yes
ON,LUCKNOW,6124700,1885,1,1993,12,44.0,-81.5,290,No
ON,MADAWASKA,6084770,1916,1,2000,11,45.5,-78.0,316,No
ON,MINE CENTRE SOUTHWEST,6025205,1915,1,2011,12,48.8,-92.6,361,Yes
ON,MOOSONEE ,6075425,1892,1,2011,12,51.3,-80.7,10,Yes
ON,MORRISBURG,6105460,1913,1,2008,12,44.9,-75.2,82,No
ON,NORTH BAY ,6085700,1915,1,2011,12,46.4,-79.4,370,Yes
ON,ORANGEVILLE MOE,6155790,1887,1,2011,12,43.9,-80.1,412,Yes
ON,ORILLIA BRAIN,6115811,1871,1,2011,8,44.6,-79.4,250,Yes
ON,OTTAWA ,6105976,1890,1,2011,12,45.4,-75.7,79,No
ON,OWEN SOUND MOE,6116132,1879,1,2007,12,44.6,-80.9,179,Yes
ON,PELEE ISLAND ,6136336,1888,1,1994,9,41.8,-82.7,174,Yes
ON,PETERBOROUGH ,6166418,1866,1,2007,5,44.2,-78.4,191,Yes
ON,PICKLE LAKE ,6016527,1933,1,2011,12,51.5,-90.2,386,Yes
ON,RED LAKE ,6016975,1939,1,2011,12,51.1,-93.8,386,No
ON,RIDGETOWN,6137149,1883,1,1999,10,42.5,-81.9,206,Yes
ON,SAULT STE MARIE ,6057592,1945,1,2011,12,46.5,-84.5,192,Yes
ON,SIOUX LOOKOUT ,6037775,1914,1,2011,12,50.1,-91.9,383,Yes
ON,SMOKY FALLS,6077845,1934,1,1997,4,50.1,-82.2,183,No
ON,SUDBURY ,6068150,1921,1,2011,12,46.6,-80.8,348,Yes
ON,TERRACE BAY ,6048231,1910,1,2007,9,48.8,-87.1,290,Yes
ON,TIMMINS ,6078285,1955,1,2011,2,48.6,-81.4,295,No
ON,TOBERMORY CYPRUS LAKE,6128323,1915,1,1994,12,45.2,-81.5,190,Yes
ON,TORONO,6158350,1840,1,2011,12,43.7,-79.4,113,No
ON,TRANQUILLO RIDGE,6048864,1877,1,2006,12,48.2,-89.5,317,Yes
ON,VINELAND,6139141,1919,1,2010,5,43.2,-79.4,110,Yes
ON,WALLACEBURG,6139265,1906,1,1997,4,42.6,-82.4,177,No
